DATE,DCAFRC1A027NBEA
1929-01-01,10.14
1930-01-01,8.772
1931-01-01,7.547
1932-01-01,5.548
1933-01-01,5.062
1934-01-01,6.117
1935-01-01,6.507
1936-01-01,7.099
1937-01-01,7.434
1938-01-01,7.351
1939-01-01,7.715
1940-01-01,8.083
1941-01-01,9.528
1942-01-01,11.803
1943-01-01,14.374
1944-01-01,15.701
1945-01-01,17.6
1946-01-01,19.66
1947-01-01,20.409
1948-01-01,21.825
1949-01-01,21.098
1950-01-01,21.441
1951-01-01,23.125
1952-01-01,23.94
1953-01-01,24.202
1954-01-01,24.32
1955-01-01,25.355
1956-01-01,26.493
1957-01-01,26.75
1958-01-01,27.063
1959-01-01,28.608
1960-01-01,29.263
1961-01-01,29.914
1962-01-01,31.271
1963-01-01,32.086
1964-01-01,34.724
1965-01-01,36.483
1966-01-01,39.802
1967-01-01,41.677
1968-01-01,45.583
1969-01-01,48.81
1970-01-01,49.945
1971-01-01,53.386
1972-01-01,57.972
1973-01-01,63.666
1974-01-01,66.876
1975-01-01,71.433
1976-01-01,76.913
1977-01-01,84.296
1978-01-01,94.638
1979-01-01,101.94
1980-01-01,108.834
1981-01-01,119.142
1982-01-01,122.67
1983-01-01,132.91
1984-01-01,144.696
1985-01-01,154.309
1986-01-01,165.11
1987-01-01,176.37
1988-01-01,188.078
1989-01-01,201.187
1990-01-01,206.534
1991-01-01,210.116
1992-01-01,223.024
1993-01-01,231.122
1994-01-01,240.071
1995-01-01,244.705
1996-01-01,253.501
1997-01-01,262.012
1998-01-01,273.082
1999-01-01,287.19
2000-01-01,297.541
2001-01-01,294.642
2002-01-01,295.168
2003-01-01,301.411
2004-01-01,313.395
2005-01-01,326.423
2006-01-01,336.156
2007-01-01,339.508
2008-01-01,333.085
2009-01-01,319.093
2010-01-01,331.651
2011-01-01,347.114
2012-01-01,359.525
2013-01-01,369.429
2014-01-01,384.586
2015-01-01,397.361
2016-01-01,409.317
2017-01-01,419.108
2018-01-01,427.92
2019-01-01,432.901
2020-01-01,381.164
2021-01-01,484.482
2022-01-01,518.323
