Date,Rec,GDP,Inflation,PCE,WasteGenerated
1961-01-01,1,545.018,1.07072414764724,29.914,
1962-01-01,0,594.013,1.19877334820186,31.271,
1963-01-01,0,621.672,1.23966942148753,32.086,
1964-01-01,0,669.822,1.27891156462591,34.724,
1965-01-01,0,717.79,1.58516926383662,36.483,
1966-01-01,0,795.734,3.0150753768844,39.802,
1967-01-01,0,844.17,2.77278562259309,41.677,
1968-01-01,0,909.387,4.27179615288537,45.583,
1969-01-01,0,993.337,5.46238620028745,48.81,
1971-01-01,0,1135.156,4.29276668813051,53.386,
1972-01-01,0,1230.609,3.27227824655283,57.972,
1973-01-01,0,1377.49,6.17776006377038,63.666,
1974-01-01,1,1491.209,11.0548048048048,66.876,
1975-01-01,1,1616.116,9.14314686496535,71.433,
1976-01-01,0,1820.487,5.74481263549085,76.913,
1977-01-01,0,1988.648,6.5016839947284,84.296,
1978-01-01,0,2202.76,7.63096383885606,94.638,
1979-01-01,0,2526.61,11.2544711292795,101.94,
1981-01-01,0,3124.206,10.3347153402771,119.142,
1982-01-01,1,3274.302,6.13142700027493,122.67,
1983-01-01,0,3473.413,3.21243523316065,132.91,
1984-01-01,0,3908.054,4.30053547523429,144.696,
1985-01-01,0,4230.168,3.54564415209365,154.309,
1986-01-01,0,4507.894,1.89804772234276,165.11,
1987-01-01,0,4722.156,3.6645632175169,176.37,
1988-01-01,0,5073.372,4.07774110744413,188.078,
1989-01-01,0,5511.253,4.82700303008944,201.187,
1991-01-01,1,6035.178,4.23496396453849,210.116,
1992-01-01,0,6363.102,3.02881967814969,223.024,
1993-01-01,0,6729.459,2.95165696638559,231.122,
1994-01-01,0,7115.652,2.60744159215453,240.071,
1995-01-01,0,7522.289,2.80541968853662,244.705,
1996-01-01,0,7868.468,2.93120419993441,253.501,
1997-01-01,0,8362.655,2.33768993730735,262.012,
1998-01-01,0,8866.48,1.55227909874364,273.082,
1999-01-01,0,9411.682,2.18802719697358,287.19,
2001-01-01,0,10470.231,2.82617111885407,294.642,
2002-01-01,0,10783.5,1.58603162650601,295.168,
2003-01-01,0,11174.129,2.27009497336115,301.411,
2004-01-01,0,11923.447,2.67723669309172,313.395,
2006-01-01,0,13599.16,3.22594410070404,336.156,
2007-01-01,0,14215.651,2.85267248150138,339.508,
2008-01-01,1,14706.538,3.839100296651,333.085,
2009-01-01,1,14430.902,-0.355546266299747,319.093,
2010-01-01,0,14764.61,1.6400434423899,331.651,
2011-01-01,0,15351.448,3.156841568622,347.114,
2012-01-01,0,16068.805,2.06933726526067,359.525,
2013-01-01,0,16648.189,1.46483265562717,369.429,
2014-01-01,0,17197.738,1.62222297740817,384.586,
2015-01-01,0,18063.529,0.118627135552451,397.361,
2016-01-01,0,18525.933,1.26158320570536,409.317,
2017-01-01,0,19280.084,2.13011000365961,419.108,
2018-01-01,0,20328.553,2.44258329692817,427.92,
