Date,Rec,GDP,Inflation,PCE,WasteGenerated
1960-01-01,0,542.648,1.45797598627791,29.263,1760000.0
1960-02-01,0,,,,
1960-03-01,0,,,,
1960-04-01,0,541.08,,,
1960-05-01,1,,,,
1960-06-01,1,,,,
1960-07-01,1,545.604,,,
1960-08-01,1,,,,
1960-09-01,1,,,,
1960-10-01,1,540.197,,,
1960-11-01,1,,,,
1960-12-01,1,,,,
1961-01-01,1,545.018,1.07072414764724,29.914,
1961-02-01,1,,,,
1961-03-01,0,,,,
1961-04-01,0,555.545,,,
1961-05-01,0,,,,
1961-06-01,0,,,,
1961-07-01,0,567.664,,,
1961-08-01,0,,,,
1961-09-01,0,,,,
1961-10-01,0,580.612,,,
1961-11-01,0,,,,
1961-12-01,0,,,,
1962-01-01,0,594.013,1.19877334820186,31.271,
1962-02-01,0,,,,
1962-03-01,0,,,,
1962-04-01,0,600.366,,,
1962-05-01,0,,,,
1962-06-01,0,,,,
1962-07-01,0,609.027,,,
1962-08-01,0,,,,
1962-09-01,0,,,,
1962-10-01,0,612.28,,,
1962-11-01,0,,,,
1962-12-01,0,,,,
1963-01-01,0,621.672,1.23966942148753,32.086,
1963-02-01,0,,,,
1963-03-01,0,,,,
1963-04-01,0,629.752,,,
1963-05-01,0,,,,
1963-06-01,0,,,,
1963-07-01,0,644.444,,,
1963-08-01,0,,,,
1963-09-01,0,,,,
1963-10-01,0,653.938,,,
1963-11-01,0,,,,
1963-12-01,0,,,,
1964-01-01,0,669.822,1.27891156462591,34.724,
1964-02-01,0,,,,
1964-03-01,0,,,,
1964-04-01,0,678.674,,,
1964-05-01,0,,,,
1964-06-01,0,,,,
1964-07-01,0,692.031,,,
1964-08-01,0,,,,
1964-09-01,0,,,,
1964-10-01,0,697.319,,,
1964-11-01,0,,,,
1964-12-01,0,,,,
1965-01-01,0,717.79,1.58516926383662,36.483,
1965-02-01,0,,,,
1965-03-01,0,,,,
1965-04-01,0,730.191,,,
1965-05-01,0,,,,
1965-06-01,0,,,,
1965-07-01,0,749.323,,,
1965-08-01,0,,,,
1965-09-01,0,,,,
1965-10-01,0,771.857,,,
1965-11-01,0,,,,
1965-12-01,0,,,,
1966-01-01,0,795.734,3.0150753768844,39.802,
1966-02-01,0,,,,
1966-03-01,0,,,,
1966-04-01,0,804.981,,,
1966-05-01,0,,,,
1966-06-01,0,,,,
1966-07-01,0,819.638,,,
1966-08-01,0,,,,
1966-09-01,0,,,,
1966-10-01,0,833.302,,,
1966-11-01,0,,,,
1966-12-01,0,,,,
1967-01-01,0,844.17,2.77278562259309,41.677,
1967-02-01,0,,,,
1967-03-01,0,,,,
1967-04-01,0,848.983,,,
1967-05-01,0,,,,
1967-06-01,0,,,,
1967-07-01,0,865.233,,,
1967-08-01,0,,,,
1967-09-01,0,,,,
1967-10-01,0,881.439,,,
1967-11-01,0,,,,
1967-12-01,0,,,,
1968-01-01,0,909.387,4.27179615288537,45.583,
1968-02-01,0,,,,
1968-03-01,0,,,,
1968-04-01,0,934.344,,,
1968-05-01,0,,,,
1968-06-01,0,,,,
1968-07-01,0,950.825,,,
1968-08-01,0,,,,
1968-09-01,0,,,,
1968-10-01,0,968.03,,,
1968-11-01,0,,,,
1968-12-01,0,,,,
